bedrooms,bathrooms,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,yr_since_renovation,cluster
3,1.0,5650,1.0,0,7,1180,0,1955,1340,5650,59.0,8
3,2.0,7242,2.0,0,7,2170,400,1951,1690,7639,23.0,19
2,1.0,10000,1.0,0,6,770,0,1933,2720,8062,82.0,3
4,3.0,5000,1.0,0,7,1050,910,1965,1360,5000,49.0,0
3,2.0,8080,1.0,0,8,1680,0,1987,1800,7503,28.0,4
4,4.5,101930,1.0,0,11,3890,1530,2001,4760,101930,13.0,2
3,2.0,6819,2.0,0,7,1715,0,1995,2238,6819,19.0,17
3,1.5,9711,1.0,0,7,1060,0,1963,1650,9711,52.0,8
3,1.0,7470,1.0,0,7,1050,730,1960,1780,8113,55.0,8
3,2.5,6560,2.0,0,7,1890,0,2003,2390,7570,12.0,14
3,2.5,9796,1.0,0,8,1860,1700,1965,2210,8925,50.0,10
2,1.0,6000,1.0,0,7,860,300,1942,1330,6000,72.0,19
3,1.0,19901,1.5,0,7,1430,0,1927,1780,12697,87.0,3
3,2.0,9680,1.0,0,7,1370,0,1977,1370,10208,37.0,4
5,2.0,4850,1.5,0,7,1810,0,1900,1360,4850,115.0,7
4,3.0,5000,2.0,3,9,1980,970,1979,2140,4000,36.0,0
3,2.0,14040,2.0,0,7,1890,0,1994,1890,14018,20.0,2
4,1.0,4300,1.5,0,7,1600,0,1916,1610,4300,98.0,7
2,1.0,9850,1.0,0,7,1200,0,1921,1060,5095,93.0,6
3,1.0,9774,1.0,0,7,1250,0,1969,1280,8850,46.0,17
4,2.0,4980,1.0,0,7,860,760,1947,1400,4980,67.0,19
2,1.5,9643,1.0,0,7,1070,0,1985,1220,8386,29.0,12
3,2.0,6500,2.0,0,8,2450,0,1985,2200,6865,29.0,12
3,2.0,4697,1.5,0,6,1710,0,1941,1030,4705,73.0,6
3,1.0,1581,1.5,0,8,1400,0,1909,1860,3861,105.0,13
3,2.0,6380,1.0,0,7,790,730,1948,1520,6235,66.0,19
4,2.5,7173,2.0,0,8,2570,0,2005,2630,6026,10.0,18
3,2.5,3980,2.0,0,8,2320,0,2003,2580,3980,11.0,4
2,1.5,1265,3.0,0,7,1190,0,2005,1390,1756,9.0,19
4,2.0,5000,1.5,0,7,1510,820,1929,1460,5000,85.0,7
3,1.0,3000,1.5,0,8,1090,0,1929,1570,5080,85.0,7
4,3.0,6659,1.0,0,7,1280,780,1981,2020,8720,33.0,5
3,2.5,3060,1.5,0,8,1510,790,1930,1590,3264,12.0,19
4,2.0,6000,2.0,0,8,2360,0,1904,1730,4700,110.0,7
4,2.5,7553,2.0,0,8,2620,0,1996,2620,11884,18.0,15
4,2.5,5520,2.0,0,9,2570,0,2000,2470,5669,14.0,4
4,2.0,24186,1.0,0,8,2600,1620,1984,2410,30617,30.0,8
5,3.0,5639,2.0,0,9,3595,0,2014,3625,5639,0.0,2
3,1.0,2280,2.0,0,7,1570,0,1922,1580,2640,92.0,7
3,1.0,9656,1.0,0,6,920,360,1959,1340,8808,55.0,5
3,2.5,13603,2.0,0,8,3160,0,2003,3050,9232,11.0,2
3,1.0,8528,1.0,0,6,990,0,1966,1228,8840,49.0,17
4,2.5,13416,2.0,0,9,2290,0,1981,2680,13685,33.0,10
3,2.0,5963,1.0,0,7,1250,0,1953,970,5100,62.0,19
3,1.0,9199,1.0,0,7,1190,0,1955,1190,9364,59.0,8
3,2.0,4080,1.0,0,7,1000,410,1950,1410,4080,64.0,7
2,2.0,8550,1.0,0,7,990,990,1981,1480,6738,34.0,7
4,2.5,5000,2.0,0,9,2830,0,1995,1950,5000,19.0,19
5,3.0,14342,2.0,4,8,3250,0,1968,2960,11044,46.0,15
4,3.0,9976,2.0,0,8,1850,0,1991,2270,8542,24.0,5
3,2.0,21235,1.0,3,8,1590,560,1959,2570,18900,55.0,8
3,2.0,8400,1.0,0,7,1260,0,1954,1290,8750,60.0,8
3,2.0,8690,2.0,0,8,2519,0,1973,2500,9500,41.0,8
3,2.0,1044,3.0,0,8,1540,0,2014,1580,3090,0.0,7
3,2.0,6000,1.0,0,7,1110,550,1979,1440,4080,35.0,13
3,3.0,3809,1.5,0,7,1770,1000,1925,1440,4000,89.0,13
4,2.5,11049,2.0,0,10,2720,0,1989,2750,11049,25.0,15
3,1.0,12070,1.0,0,7,1000,0,1968,1010,12635,46.0,12
5,2.0,20158,1.0,0,8,1600,1600,1965,3390,20158,49.0,10
5,3.0,50094,1.0,0,11,3070,1700,1973,3530,38917,41.0,10
3,2.0,5612,1.0,0,7,1260,0,1972,1640,4745,43.0,3
4,2.0,7807,1.5,0,7,2250,500,1916,1510,7807,98.0,19
4,2.5,5000,2.0,0,8,2380,0,2005,2420,5000,9.0,14
3,2.0,50529,1.0,0,7,1090,700,1965,1940,50529,50.0,14
4,4.0,35102,2.0,0,10,2390,1040,1986,3240,35020,28.0,4
4,2.0,7300,1.0,0,7,880,880,1956,1680,7500,58.0,10
3,1.0,5060,1.0,0,7,1040,0,1941,890,5060,74.0,0
3,1.0,5060,1.0,0,7,910,500,1956,1130,5693,58.0,19
4,2.5,39683,2.0,0,10,3450,0,2002,3350,39750,13.0,14
3,2.5,5100,2.0,0,8,2350,0,2003,2350,5363,11.0,14
4,2.5,5889,2.0,0,7,1900,0,1992,1870,6405,22.0,14
2,1.0,6720,1.0,0,7,1010,1010,1948,1720,6720,66.0,13
3,1.5,8712,1.0,0,8,1680,0,1964,1850,8797,51.0,5
3,1.0,6634,1.0,0,6,960,0,1952,1570,7203,62.0,19
3,3.0,6278,2.0,0,9,1980,790,2006,1900,7349,8.0,15
2,2.0,2040,2.0,0,7,1610,0,1979,1950,2025,35.0,15
2,2.0,1066,2.0,0,7,765,265,2006,1030,1106,8.0,0
4,2.5,7403,2.0,0,7,1980,0,1988,1980,7510,26.0,17
5,3.0,6353,2.0,0,10,3520,0,2001,2520,6250,14.0,7
3,1.0,10500,1.0,0,7,1200,0,1962,1350,10500,53.0,17
3,1.5,5000,1.0,0,8,1290,290,1939,1570,4500,75.0,7
3,1.5,5000,1.0,0,8,1290,290,1939,1570,4500,75.0,7
4,2.5,10250,1.0,0,7,2390,910,1946,1950,6045,23.0,13
3,2.0,15681,1.0,0,7,1960,0,1967,1750,15616,48.0,17
4,1.5,6400,1.0,0,7,1160,0,1975,1160,6400,39.0,17
3,2.0,41800,1.0,0,7,1210,600,1980,1650,135036,34.0,14
